
"State","","Confirmed","Recovered","Deaths","Active","Last_Updated_Time","State_code","Delta_Confirmed","Delta_Recovered","Delta_Deaths","State_Notes"
"Total","","10752","1226","361","9165","14/04/2020 15:45:59","TT","298","28","3",""
"","","","","","","","","","","",""
"Maharashtra","","2455","229","160","2066","14/04/2020 12:42:10","MH","121","0","0",""
"Delhi","","1510","31","28","1451","13/04/2020 22:46:07","DL","0","0","0",""
"Tamil Nadu","","1173","58","11","1104","13/04/2020 18:35:25","TN","0","0","0",""
"Rajasthan","","945","121","11","813","14/04/2020 10:35:25","RJ","48","0","0",""
"Madhya Pradesh","","614","51","50","513","13/04/2020 20:20:25","MP","0","0","0",""
"Telangana","","592","103","17","472","13/04/2020 22:01:06","TG","0","0","0",""
"Gujarat","","617","55","26","536","14/04/2020 11:35:25","GJ","45","1","0",""
"Uttar Pradesh","","558","49","5","504","13/04/2020 21:38:02","UP","0","0","0",""
"Andhra Pradesh","","473","14","9","450","14/04/2020 12:10:25","AP","34","2","2",""
"Kerala","","378","198","2","178","13/04/2020 18:17:35","KL","0","0","0",""
"Jammu and Kashmir","","270","29","4","237","14/04/2020 12:42:11","JK","0","13","0",""
"Karnataka","","258","65","9","184","14/04/2020 15:46:10","KA","11","5","1",""
"Haryana","","196","51","3","142","13/04/2020 18:40:26","HR","0","0","0","14 recovered Italian tourists included in tally, 1 death in Ambala unaccounted."
"West Bengal","","190","36","7","147","14/04/2020 10:40:25","WB","38","7","0",""
"Punjab","","176","25","12","139","13/04/2020 18:20:25","PB","0","0","0","As WB state bulletin only reports the number of active cases, the numbers for WB are currently updated according to https://www.mohfw.gov.in"
"Bihar","","66","28","1","37","13/04/2020 22:46:16","BR","0","0","0",""
"Odisha","","56","18","1","37","14/04/2020 10:25:25","OR","1","0","0",""
"Uttarakhand","","35","7","0","28","08/04/2020 21:20:26","UT","0","0","0",""
"Himachal Pradesh","","32","12","2","18","12/04/2020 21:35:27","HP","0","0","0","Death of Tibetan refugee included"
"Chhattisgarh","","31","10","0","21","13/04/2020 03:22:26","CT","0","0","0",""
"Assam","","31","0","1","30","14/04/2020 10:00:26","AS","0","0","0",""
"Jharkhand","","24","0","2","22","13/04/2020 20:50:25","JH","0","0","0",""
"Chandigarh","","21","7","0","14","10/04/2020 18:10:27","CH","0","0","0",""
"Ladakh","","17","12","0","5","13/04/2020 21:15:27","LA","0","0","0",""
"Andaman and Nicobar Islands","","11","10","0","1","30/03/2020 11:27:27","AN","0","0","0",""
"Goa","","7","5","0","2","11/04/2020 23:26:44","GA","0","0","0",""
"Puducherry","","7","1","0","6","10/04/2020 17:50:26","PY","0","0","0",""
"Manipur","","2","1","0","1","06/04/2020 22:35:54","MN","0","0","0",""
"Tripura","","2","0","0","2","10/04/2020 20:00:27","TR","0","0","0",""
"Mizoram","","1","0","0","1","26/03/2020 07:19:29","MZ","0","0","0",""
"Arunachal Pradesh","","1","0","0","1","02/04/2020 11:42:31","AR","0","0","0",""
"Dadra and Nagar Haveli","","1","0","0","1","06/04/2020 15:22:25","DN","0","0","0",""
"Nagaland","","1","0","0","1","12/04/2020 23:35:29","NL","0","0","0",""
"Meghalaya","","1","0","0","1","13/04/2020 22:52:41","ML","0","0","0",""
"Daman and Diu","","0","0","0","0","26/03/2020 07:19:29","DD","0","0","0",""
"Lakshadweep","","0","0","0","0","26/03/2020 07:19:29","LD","0","0","0",""
"Sikkim","","0","0","0","0","26/03/2020 07:19:29","SK","0","0","0",""
