dates,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Tamil Nadu,Telangana,Tripura,Uttarakhand,Uttar Pradesh,West Bengal,New,Total,,,
Jan-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,—,,
Feb-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,+100%,,
Feb-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,+50%,,
Mar-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,+67%,,
Mar-03,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,11,+20%,,
Mar-04,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,17,+356%,,
Mar-05,0,0,0,0,0,0,0,2,0,0,14,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,6,0,28,45,+7%,,
Mar-06,0,0,0,0,0,0,0,3,0,0,14,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,7,0,30,75,+3%,,
Mar-07,0,0,0,0,0,0,0,4,0,0,14,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,7,0,31,106,+10%,,
Mar-08,0,0,0,0,0,0,0,4,0,0,14,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,2,1,1,0,0,7,0,34,140,+15%,,
Mar-09,0,0,0,0,0,0,0,4,0,0,14,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,2,1,1,0,0,7,0,39,179,+13%,,
Mar-10,0,0,0,0,0,0,0,5,0,0,14,0,1,0,0,9,2,0,0,0,0,0,0,0,0,1,2,1,1,0,0,8,0,44,223,+14%,,
Mar-11,0,0,0,0,0,0,0,5,0,0,14,0,1,0,4,9,2,0,2,0,0,0,0,0,0,1,2,1,1,0,0,8,0,50,273,+20%,,
Mar-12,0,0,0,0,0,0,0,6,0,0,14,0,1,0,4,17,2,0,2,0,0,0,0,0,0,1,3,1,1,0,0,8,0,60,333,+22%,1,1
Mar-13,0,1,0,0,0,0,0,8,0,0,14,0,1,0,4,17,3,0,8,0,0,0,0,0,0,1,4,1,1,0,0,10,0,73,406,+11%,,1
Mar-14,0,1,0,0,0,0,0,8,0,0,14,0,1,0,6,19,3,0,11,0,0,0,0,0,0,1,4,1,1,0,0,11,0,81,487,+20%,1,2
Mar-15,0,1,0,0,0,0,0,9,0,0,14,0,2,0,6,19,3,0,23,0,0,0,0,0,0,1,5,1,1,0,0,12,0,97,584,+10%,,2
Mar-16,0,1,0,0,0,0,0,9,0,0,14,0,2,0,6,22,3,0,28,0,0,0,0,0,0,1,5,1,3,0,0,12,0,107,691,+10%,,2
Mar-17,0,1,0,0,0,0,0,9,0,0,14,0,3,0,7,23,4,0,34,0,0,0,0,1,0,1,5,1,3,0,0,12,0,118,809,+16%,1,3
Mar-18,0,1,0,0,0,0,0,10,0,0,15,0,3,0,10,26,8,0,37,0,0,0,0,1,0,1,5,1,5,0,0,14,0,137,946,+10%,,3
Mar-19,0,1,0,0,0,0,0,12,0,0,17,0,3,0,11,27,8,0,40,0,0,0,0,1,1,1,6,1,5,0,0,16,1,151,1097,+15%,1,4
Mar-20,0,1,0,0,0,1,1,14,0,0,17,0,4,0,14,27,8,0,43,0,0,0,0,1,1,2,9,2,6,0,1,20,1,173,1270,+29%,,4
Mar-21,0,3,0,0,0,1,1,19,0,5,17,0,4,0,15,28,10,0,48,0,0,0,0,2,1,3,19,3,17,0,1,24,2,223,1493,+27%,,4
Mar-22,0,3,0,0,0,1,1,27,0,7,17,2,4,0,15,40,13,4,59,0,0,0,0,2,1,14,19,3,21,0,3,24,3,283,1776,+27%,3,7
